application_id,applicant_id,ariza_sana,sorlgan_summa,maqsad,muddat_oy,mavjud_oylik_yuk,natija
AP000001,A000001,2024-09-18,10962468,avto,36,0,toladi
AP000002,A000002,2024-10-25,19041821,ipoteka,12,0,toladi
AP000003,A000003,2024-06-28,15543830,iste'mol,24,1761400,toladi
AP000004,A000004,2025-02-06,12781054,kredit_karta,60,0,toladi
AP000005,A000005,2024-08-06,16664226,ipoteka,6,0,toladi
AP000006,A000006,2024-05-22,20522130,kredit_karta,6,3036672,defolt
AP000007,A000007,2024-12-30,21334651,avto,24,0,toladi
AP000008,A000008,2024-05-19,23279391,mikrobiznes,60,0,toladi
AP000009,A000009,2024-07-24,5403963,kredit_karta,12,1041664,defolt
AP000010,A000010,2024-11-27,34651999,mikrobiznes,24,777346,toladi
AP000011,A000011,2024-06-24,17917118,iste'mol,6,1409131,toladi
AP000012,A000012,2024-12-01,4905240,mikrobiznes,6,904165,defolt
AP000013,A000013,2024-10-23,8278470,kredit_karta,12,0,toladi
AP000014,A000014,2024-07-09,17284359,mikrobiznes,36,314880,toladi
AP000015,A000015,2024-11-30,15301495,ta'lim,60,0,toladi
AP000016,A000016,2025-01-21,12036793,ta'lim,6,512877,toladi
AP000017,A000017,2024-10-08,8255048,avto,24,0,toladi
AP000018,A000018,2025-02-28,11489706,avto,12,1615530,toladi
AP000019,A000019,2024-04-13,28847322,mikrobiznes,6,0,toladi
AP000020,A000020,2024-08-03,23789155,ipoteka,60,1878920,toladi
AP000021,A000021,2024-05-07,20030017,kredit_karta,24,0,toladi
AP000022,A000022,2024-07-04,19980190,avto,36,417499,toladi
AP000023,A000023,2024-06-29,8566526,mikrobiznes,60,2350550,toladi
AP000024,A000024,2024-08-08,11904296,ipoteka,36,0,toladi
AP000025,A000025,2024-08-09,26422437,iste'mol,60,0,toladi
AP000026,A000026,2024-11-29,37047694,mikrobiznes,6,1053058,toladi
AP000027,A000027,2024-09-12,21012456,iste'mol,6,0,toladi
AP000028,A000028,2024-11-15,8971116,ta'lim,6,0,toladi
AP000029,A000029,2024-10-15,8116541,mikrobiznes,60,1597374,toladi
AP000030,A000030,2024-05-25,4975835,ta'lim,12,776960,defolt
AP000031,A000031,2025-02-23,20576558,ipoteka,60,2207074,defolt
AP000032,A000032,2024-08-04,25751842,mikrobiznes,60,89035,defolt
AP000033,A000033,2024-10-14,7941100,ta'lim,6,4933886,toladi
AP000034,A000034,2024-05-12,21119823,avto,6,1463266,toladi
AP000035,A000035,2024-11-19,16669075,kredit_karta,60,329812,toladi
AP000036,A000036,2024-09-27,10645540,avto,6,351327,toladi
AP000037,A000037,2024-11-13,16808266,kredit_karta,24,0,toladi
AP000038,A000038,2024-06-04,23264254,mikrobiznes,6,0,toladi
AP000039,A000039,2024-10-07,25098749,kredit_karta,24,203304,toladi
AP000040,A000040,2025-02-05,6221000,avto,12,0,toladi
AP000041,A000041,2024-09-03,15946414,kredit_karta,36,184317,toladi
AP000042,A000042,2024-07-24,12014972,kredit_karta,12,4514710,toladi
AP000043,A000043,2024-07-25,19576809,ta'lim,12,0,toladi
AP000044,A000044,2024-08-04,11784023,kredit_karta,6,1392712,toladi
AP000045,A000045,2025-01-14,13235628,mikrobiznes,24,0,toladi
AP000046,A000046,2024-12-14,17442002,ipoteka,36,0,toladi
AP000047,A000047,2024-10-01,36739502,ta'lim,36,7106367,toladi
AP000048,A000048,2025-01-30,10447019,iste'mol,12,1032501,toladi
AP000049,A000049,2024-09-02,13663276,avto,60,0,toladi
AP000050,A000050,2024-07-08,17093148,kredit_karta,12,0,toladi
AP000051,A000051,2024-11-01,10553888,iste'mol,60,4244839,defolt
AP000052,A000052,2024-12-22,4844649,kredit_karta,60,0,toladi
AP000053,A000053,2024-07-08,8777547,kredit_karta,60,176381,toladi
AP000054,A000054,2024-04-30,21626923,avto,6,4853395,defolt
AP000055,A000055,2025-02-21,9820289,kredit_karta,6,3837004,toladi
AP000056,A000056,2024-12-18,14684290,mikrobiznes,36,0,toladi
AP000057,A000057,2024-10-09,10840306,mikrobiznes,6,5062257,toladi
AP000058,A000058,2024-06-04,43809170,iste'mol,36,2253580,toladi
AP000059,A000059,2024-12-21,22926908,ipoteka,24,0,defolt
AP000060,A000060,2024-08-05,26923728,kredit_karta,12,1065639,toladi
AP000061,A000061,2024-09-05,36757768,ipoteka,12,3537000,toladi
AP000062,A000062,2024-04-19,10216425,kredit_karta,12,1355753,toladi
AP000063,A000063,2024-10-06,6830988,ipoteka,12,0,toladi
AP000064,A000064,2024-10-26,7562503,ta'lim,24,308738,toladi
AP000065,A000065,2024-12-28,6109636,mikrobiznes,12,4395296,defolt
AP000066,A000066,2024-09-19,18049039,kredit_karta,12,195562,toladi
AP000067,A000067,2024-07-14,19393791,avto,36,2853294,defolt
AP000068,A000068,2025-02-27,9147602,avto,36,7555992,defolt
AP000069,A000069,2025-02-28,7305628,avto,60,1790472,toladi
AP000070,A000070,2024-06-13,9823030,ta'lim,12,0,toladi
AP000071,A000071,2024-12-18,30237381,ta'lim,60,6110500,toladi
AP000072,A000072,2024-11-04,23027098,ipoteka,12,604680,toladi
AP000073,A000073,2025-01-10,10152477,ta'lim,24,0,toladi
AP000074,A000074,2025-01-07,20179793,iste'mol,6,295759,toladi
AP000075,A000075,2024-09-28,38150537,ipoteka,24,0,toladi
AP000076,A000076,2024-12-25,10839247,mikrobiznes,36,1747307,toladi
AP000077,A000077,2024-05-27,22146991,ta'lim,12,0,toladi
AP000078,A000078,2024-12-19,76703263,iste'mol,12,0,toladi
AP000079,A000079,2024-07-16,24026562,ta'lim,60,0,toladi
AP000080,A000080,2024-12-26,33176278,mikrobiznes,24,4225554,toladi
AP000081,A000081,2025-02-04,7232767,kredit_karta,60,0,toladi
AP000082,A000082,2024-11-24,4965859,kredit_karta,24,2744087,toladi
AP000083,A000083,2024-05-15,15026174,iste'mol,60,0,toladi
AP000084,A000084,2024-07-06,11495068,mikrobiznes,24,0,toladi
AP000085,A000085,2024-11-27,18377905,kredit_karta,6,0,toladi
AP000086,A000086,2025-02-17,56395728,mikrobiznes,6,393240,toladi
AP000087,A000087,2024-08-19,27601627,ipoteka,6,0,toladi
AP000088,A000088,2024-05-14,16554112,ta'lim,24,193641,toladi
AP000089,A000089,2024-08-06,24325655,iste'mol,12,5616864,toladi
AP000090,A000090,2024-11-23,10929932,ipoteka,24,0,toladi
AP000091,A000091,2024-07-27,10718759,kredit_karta,60,0,toladi
AP000092,A000092,2024-11-11,20506283,iste'mol,24,696338,toladi
AP000093,A000093,2025-02-15,6516537,avto,6,853189,toladi
AP000094,A000094,2024-10-20,72471227,kredit_karta,36,237756,toladi
AP000095,A000095,2024-04-25,5584092,ipoteka,36,440921,toladi
AP000096,A000096,2024-09-20,11519600,iste'mol,6,0,toladi
AP000097,A000097,2025-01-12,27827113,ipoteka,6,0,toladi
AP000098,A000098,2024-10-01,10598728,kredit_karta,6,9471473,defolt
AP000099,A000099,2024-09-14,26086920,kredit_karta,60,379265,toladi
AP000100,A000100,2024-08-22,16965289,kredit_karta,6,412142,toladi
AP000101,A000101,2024-06-21,10542901,avto,24,0,toladi
AP000102,A000102,2024-08-29,17537396,kredit_karta,24,0,toladi
AP000103,A000103,2025-02-17,20424101,ipoteka,60,0,toladi
AP000104,A000104,2024-12-27,14517470,avto,12,191911,toladi
AP000105,A000105,2025-01-09,26536383,iste'mol,12,0,toladi
AP000106,A000106,2024-07-28,15941187,ta'lim,6,0,toladi
AP000107,A000107,2024-04-24,6352947,mikrobiznes,24,2155846,toladi
AP000108,A000108,2024-12-10,19527379,mikrobiznes,60,0,toladi
AP000109,A000109,2024-08-07,12221947,kredit_karta,6,0,toladi
AP000110,A000110,2024-07-31,15979714,ipoteka,36,0,toladi
AP000111,A000111,2025-01-21,50767132,mikrobiznes,6,1060907,toladi
AP000112,A000112,2024-11-09,20716571,ta'lim,6,194788,defolt
AP000113,A000113,2024-08-12,15380514,ipoteka,6,859090,toladi
AP000114,A000114,2024-05-22,10976681,avto,36,86296,toladi
AP000115,A000115,2024-09-26,12973001,ta'lim,24,638199,toladi
AP000116,A000116,2024-08-25,16995468,kredit_karta,60,0,toladi
AP000117,A000117,2024-12-17,10822795,avto,6,0,toladi
AP000118,A000118,2024-07-31,26160620,iste'mol,6,0,toladi
AP000119,A000119,2024-09-23,18032922,kredit_karta,6,681725,toladi
AP000120,A000120,2024-10-21,39809417,avto,6,255055,toladi
AP000121,A000121,2025-02-06,16309420,iste'mol,6,1566011,toladi
AP000122,A000122,2024-04-12,68187557,ta'lim,60,0,toladi
AP000123,A000123,2025-01-30,16796718,ipoteka,36,0,toladi
AP000124,A000124,2025-01-24,20300563,iste'mol,36,853753,toladi
AP000125,A000125,2025-02-24,30298834,ipoteka,6,0,toladi
AP000126,A000126,2024-11-21,23234109,mikrobiznes,36,1148658,toladi
AP000127,A000127,2024-11-11,8804019,ta'lim,60,0,toladi
AP000128,A000128,2024-04-15,6506186,iste'mol,36,4747714,defolt
AP000129,A000129,2024-04-14,31956088,iste'mol,12,2390883,defolt
AP000130,A000130,2024-05-24,26048257,avto,6,1786790,toladi
AP000131,A000131,2024-06-15,10153396,mikrobiznes,36,0,defolt
AP000132,A000132,2025-01-02,8514704,kredit_karta,36,2051463,defolt
AP000133,A000133,2024-10-20,12802507,ipoteka,36,2678171,toladi
AP000134,A000134,2024-05-07,8444682,mikrobiznes,12,0,toladi
AP000135,A000135,2024-09-23,20790119,iste'mol,36,0,toladi
AP000136,A000136,2024-04-29,21362810,avto,12,1431282,toladi
AP000137,A000137,2024-09-01,34499138,ipoteka,36,655346,toladi
AP000138,A000138,2024-09-03,8675772,iste'mol,24,192382,toladi
AP000139,A000139,2025-02-23,13918698,mikrobiznes,12,774253,toladi
AP000140,A000140,2024-11-07,13411935,kredit_karta,60,3277238,toladi
AP000141,A000141,2024-10-20,22314421,iste'mol,60,0,toladi
AP000142,A000142,2024-04-13,12231949,ipoteka,6,0,toladi
AP000143,A000143,2024-04-16,8339132,iste'mol,60,445536,toladi
AP000144,A000144,2025-02-14,16349725,avto,12,0,toladi
AP000145,A000145,2024-05-18,18082385,ipoteka,24,0,toladi
AP000146,A000146,2024-04-18,17763530,ta'lim,36,454934,toladi
AP000147,A000147,2024-10-05,17518136,iste'mol,24,0,toladi
AP000148,A000148,2024-11-29,8123079,kredit_karta,6,467279,toladi
AP000149,A000149,2024-12-05,9767166,ipoteka,60,0,toladi
AP000150,A000150,2024-04-13,15785423,ta'lim,60,0,toladi
AP000151,A000151,2024-08-21,25997833,kredit_karta,36,0,toladi
AP000152,A000152,2024-08-25,34125787,avto,12,713742,toladi
AP000153,A000153,2024-11-23,20701833,ta'lim,12,0,toladi
AP000154,A000154,2024-10-25,5963858,ipoteka,12,0,toladi
AP000155,A000155,2025-01-31,14857689,ipoteka,60,2843208,toladi
AP000156,A000156,2024-09-04,65260032,kredit_karta,60,318936,toladi
AP000157,A000157,2024-06-03,36718866,iste'mol,24,2262938,toladi
AP000158,A000158,2024-04-22,8292758,mikrobiznes,12,0,toladi
AP000159,A000159,2024-07-08,52481457,mikrobiznes,24,0,toladi
AP000160,A000160,2024-05-11,15017466,kredit_karta,36,0,toladi
AP000161,A000161,2024-11-08,45538242,ipoteka,36,0,toladi
AP000162,A000162,2025-01-01,33911604,iste'mol,6,0,toladi
AP000163,A000163,2024-10-11,7793738,kredit_karta,12,307053,toladi
AP000164,A000164,2024-04-14,21938625,iste'mol,6,0,toladi
AP000165,A000165,2024-05-17,11507011,ipoteka,36,631243,toladi
AP000166,A000166,2025-02-15,18156083,kredit_karta,60,1450550,toladi
AP000167,A000167,2025-02-07,8108374,ta'lim,12,1686952,toladi
AP000168,A000168,2024-05-15,5190247,mikrobiznes,36,0,toladi
AP000169,A000169,2025-01-21,6683156,iste'mol,12,2320258,toladi
AP000170,A000170,2024-05-07,27670244,mikrobiznes,36,0,toladi
AP000171,A000171,2024-12-03,4529152,iste'mol,36,0,toladi
AP000172,A000172,2025-02-04,37786362,ipoteka,24,837780,toladi
AP000173,A000173,2025-01-06,33793541,iste'mol,6,0,toladi
AP000174,A000174,2024-10-16,54683720,ta'lim,36,849223,toladi
AP000175,A000175,2025-01-10,4177473,iste'mol,60,3368037,toladi
AP000176,A000176,2024-08-21,6536224,mikrobiznes,24,0,toladi
AP000177,A000177,2024-06-01,7655221,kredit_karta,60,923308,toladi
AP000178,A000178,2024-11-02,23884104,kredit_karta,60,0,toladi
AP000179,A000179,2024-07-06,39175288,ipoteka,60,4571507,toladi
AP000180,A000180,2024-08-11,10018322,avto,24,8607623,toladi
AP000181,A000181,2024-10-16,13596736,mikrobiznes,12,574624,toladi
AP000182,A000182,2025-02-23,23980757,kredit_karta,12,0,toladi
AP000183,A000183,2024-09-25,19072805,iste'mol,36,426500,toladi
AP000184,A000184,2024-11-08,10068861,ipoteka,60,1426617,toladi
AP000185,A000185,2024-08-15,7053808,ipoteka,12,0,toladi
AP000186,A000186,2024-04-09,37415508,mikrobiznes,60,518962,toladi
AP000187,A000187,2024-07-15,59712798,ta'lim,60,0,toladi
AP000188,A000188,2024-12-01,8650678,ta'lim,36,154213,toladi
AP000189,A000189,2024-07-06,18333992,avto,24,8296753,toladi
AP000190,A000190,2024-04-14,13212510,ipoteka,12,0,toladi
AP000191,A000191,2024-05-23,23712234,kredit_karta,60,0,toladi
AP000192,A000192,2024-11-04,20662870,kredit_karta,60,494637,toladi
AP000193,A000193,2024-07-28,22024225,iste'mol,24,660308,toladi
AP000194,A000194,2024-04-20,8221943,mikrobiznes,6,358498,toladi
AP000195,A000195,2024-05-24,10923843,kredit_karta,6,79497,toladi
AP000196,A000196,2024-10-08,20678031,ta'lim,12,0,toladi
AP000197,A000197,2025-02-15,26584230,mikrobiznes,6,2122275,toladi
AP000198,A000198,2024-08-22,16261197,ipoteka,12,11709810,toladi
AP000199,A000199,2025-01-17,6275116,kredit_karta,6,271400,toladi
AP000200,A000200,2025-02-01,14771028,mikrobiznes,36,728774,toladi
AP000201,A000201,2024-08-08,20048829,ipoteka,36,0,toladi
AP000202,A000202,2024-11-27,13462125,iste'mol,24,929331,toladi
AP000203,A000203,2024-09-15,11772115,ta'lim,36,0,toladi
AP000204,A000204,2024-08-04,10034355,avto,24,367129,toladi
AP000205,A000205,2024-06-01,9325512,ipoteka,60,1347185,toladi
AP000206,A000206,2024-07-14,18897500,ta'lim,12,0,toladi
AP000207,A000207,2024-10-11,14607796,mikrobiznes,60,0,toladi
AP000208,A000208,2025-02-16,4597236,mikrobiznes,6,1206295,toladi
AP000209,A000209,2024-10-13,6960406,kredit_karta,60,2738815,toladi
AP000210,A000210,2025-02-22,22794160,ta'lim,12,0,toladi
AP000211,A000211,2024-12-03,7973498,mikrobiznes,60,0,toladi
AP000212,A000212,2024-08-21,9462197,ipoteka,6,0,toladi
AP000213,A000213,2025-01-24,30685990,kredit_karta,60,0,toladi
AP000214,A000214,2024-07-31,27161508,mikrobiznes,24,243817,toladi
AP000215,A000215,2024-04-16,48392076,mikrobiznes,6,0,defolt
AP000216,A000216,2024-12-18,10538140,avto,60,1083217,toladi
AP000217,A000217,2024-12-12,33917050,kredit_karta,24,0,toladi
AP000218,A000218,2024-11-08,26813654,kredit_karta,6,199675,toladi
AP000219,A000219,2024-07-24,15782326,avto,36,0,defolt
AP000220,A000220,2025-01-18,9386899,mikrobiznes,60,887354,toladi
AP000221,A000221,2024-09-13,74374361,ta'lim,60,0,toladi
AP000222,A000222,2024-04-15,10250644,ipoteka,60,0,toladi
AP000223,A000223,2024-04-21,15900689,kredit_karta,60,0,toladi
AP000224,A000224,2024-09-17,18841135,ta'lim,60,0,toladi
AP000225,A000225,2024-07-20,8137985,kredit_karta,12,0,defolt
AP000226,A000226,2024-11-10,6500535,kredit_karta,36,1598664,toladi
AP000227,A000227,2024-10-17,17409157,ipoteka,36,0,toladi
AP000228,A000228,2024-09-06,12852924,avto,12,0,toladi
AP000229,A000229,2024-05-07,12789238,ipoteka,24,0,toladi
AP000230,A000230,2024-10-13,45293180,ta'lim,24,0,defolt
AP000231,A000231,2025-02-10,17986112,avto,60,0,toladi
AP000232,A000232,2024-07-10,19740948,avto,12,0,toladi
AP000233,A000233,2024-05-22,19161361,avto,36,304388,toladi
AP000234,A000234,2024-06-30,6665842,ipoteka,36,0,defolt
AP000235,A000235,2024-09-07,10301997,mikrobiznes,36,0,toladi
AP000236,A000236,2025-01-10,15312961,kredit_karta,6,0,toladi
AP000237,A000237,2024-04-07,12067852,ipoteka,12,979655,toladi
AP000238,A000238,2025-02-19,48026470,kredit_karta,6,1841380,toladi
AP000239,A000239,2024-06-25,22042238,avto,60,1297389,toladi
AP000240,A000240,2025-01-24,16765910,mikrobiznes,36,437570,toladi
AP000241,A000241,2024-11-12,9044271,ta'lim,36,252296,toladi
AP000242,A000242,2024-11-23,20283879,iste'mol,6,1229609,defolt
AP000243,A000243,2024-04-15,15955806,avto,6,639206,toladi
AP000244,A000244,2024-10-01,11157648,ta'lim,6,0,toladi
AP000245,A000245,2024-12-18,17793169,iste'mol,6,866013,toladi
AP000246,A000246,2024-05-29,23147258,ta'lim,36,0,toladi
AP000247,A000247,2024-11-13,13032747,kredit_karta,6,1293543,toladi
AP000248,A000248,2024-09-04,26378834,mikrobiznes,36,0,toladi
AP000249,A000249,2025-01-04,5246879,iste'mol,24,428988,toladi
AP000250,A000250,2024-08-09,11639600,iste'mol,24,3935311,defolt
AP000251,A000251,2024-10-02,12369963,mikrobiznes,60,0,toladi
AP000252,A000252,2024-12-15,19071559,kredit_karta,60,174333,toladi
AP000253,A000253,2024-06-29,28446569,avto,24,569598,toladi
AP000254,A000254,2024-10-06,18860313,kredit_karta,60,256818,toladi
AP000255,A000255,2025-01-30,3887577,ta'lim,36,2964577,toladi
AP000256,A000256,2024-12-16,21087893,avto,24,0,toladi
AP000257,A000257,2024-05-25,30811538,ipoteka,36,1968539,toladi
AP000258,A000258,2025-02-25,7167275,ta'lim,60,0,defolt
AP000259,A000259,2024-08-28,20079741,iste'mol,24,1551672,toladi
AP000260,A000260,2024-06-04,24559162,mikrobiznes,6,4130992,defolt
AP000261,A000261,2025-02-05,20367998,avto,6,0,toladi
AP000262,A000262,2025-02-22,17165078,iste'mol,24,2973961,toladi
AP000263,A000263,2024-08-16,8056987,mikrobiznes,12,4555747,toladi
AP000264,A000264,2024-12-31,13237968,avto,12,1099848,toladi
AP000265,A000265,2024-09-15,10979531,iste'mol,24,830842,toladi
AP000266,A000266,2024-10-01,5026582,kredit_karta,6,0,toladi
AP000267,A000267,2024-07-02,39928556,kredit_karta,36,0,toladi
AP000268,A000268,2024-09-18,27182300,mikrobiznes,6,527353,toladi
AP000269,A000269,2024-12-07,17068902,ipoteka,12,680656,toladi
AP000270,A000270,2024-09-12,8668846,ipoteka,6,629917,toladi
AP000271,A000271,2024-09-11,5937367,iste'mol,6,0,toladi
AP000272,A000272,2024-10-03,21044884,ta'lim,12,192257,toladi
AP000273,A000273,2024-04-24,5765811,avto,6,3642302,toladi
AP000274,A000274,2024-05-09,22627349,iste'mol,60,0,toladi
AP000275,A000275,2024-10-26,13427282,ta'lim,6,793853,toladi
AP000276,A000276,2024-08-24,10383351,ta'lim,6,3118180,toladi
AP000277,A000277,2024-09-27,27390781,avto,12,54231,toladi
AP000278,A000278,2024-04-08,11536016,avto,24,2668373,toladi
AP000279,A000279,2025-01-13,8618855,kredit_karta,60,0,toladi
AP000280,A000280,2024-11-06,10260430,iste'mol,24,3014461,defolt
AP000281,A000281,2025-02-09,6918012,ipoteka,12,0,toladi
AP000282,A000282,2024-04-25,25563580,avto,12,0,toladi
AP000283,A000283,2024-06-08,3684627,avto,60,560377,toladi
AP000284,A000284,2025-02-05,27153017,ipoteka,6,0,toladi
AP000285,A000285,2024-05-24,10088482,avto,36,0,toladi
AP000286,A000286,2025-01-26,17423604,ta'lim,36,0,toladi
AP000287,A000287,2024-06-17,6074199,kredit_karta,24,0,toladi
AP000288,A000288,2024-07-03,7562882,ta'lim,36,0,toladi
AP000289,A000289,2024-11-23,26888013,mikrobiznes,60,830815,toladi
AP000290,A000290,2024-07-23,40060811,mikrobiznes,6,0,toladi
AP000291,A000291,2024-07-01,6590740,mikrobiznes,12,7044536,defolt
AP000292,A000292,2024-04-10,18137489,iste'mol,6,0,toladi
AP000293,A000293,2025-01-17,18803008,ta'lim,6,0,toladi
AP000294,A000294,2024-05-24,23162156,mikrobiznes,12,3856333,toladi
AP000295,A000295,2024-07-13,15525477,avto,36,0,defolt
AP000296,A000296,2024-08-18,35205095,ipoteka,12,2519723,defolt
AP000297,A000297,2024-08-04,7756263,ta'lim,24,1257309,toladi
AP000298,A000298,2024-11-28,39731156,avto,6,683635,defolt
AP000299,A000299,2024-11-19,28970521,mikrobiznes,24,0,toladi
AP000300,A000300,2024-12-18,28315014,avto,24,544037,toladi
AP000301,A000301,2024-09-08,5008184,ipoteka,6,0,toladi
AP000302,A000302,2025-02-03,13686951,kredit_karta,12,308044,toladi
AP000303,A000303,2024-12-28,12058020,avto,12,0,toladi
AP000304,A000304,2024-10-17,13742152,kredit_karta,36,0,toladi
AP000305,A000305,2024-12-12,47903240,kredit_karta,6,342208,toladi
AP000306,A000306,2024-11-23,25200063,ipoteka,36,0,toladi
AP000307,A000307,2024-10-13,9966550,ta'lim,24,1429415,toladi
AP000308,A000308,2025-01-11,42560774,avto,36,0,toladi
AP000309,A000309,2024-07-16,10804807,mikrobiznes,24,902278,toladi
AP000310,A000310,2024-07-31,18684853,ta'lim,60,7386229,defolt
AP000311,A000311,2024-05-30,2580010,iste'mol,6,0,toladi
AP000312,A000312,2024-07-29,18726498,kredit_karta,60,6782926,toladi
AP000313,A000313,2024-12-03,7342395,kredit_karta,24,4521492,toladi
AP000314,A000314,2024-06-01,14481123,ipoteka,12,0,toladi
AP000315,A000315,2024-05-31,9843911,mikrobiznes,12,0,toladi
AP000316,A000316,2024-11-05,22201062,ta'lim,36,425474,toladi
AP000317,A000317,2024-08-19,25369231,ipoteka,6,0,toladi
AP000318,A000318,2024-11-06,33964038,ta'lim,6,1037983,toladi
AP000319,A000319,2024-09-30,64794777,mikrobiznes,12,0,toladi
AP000320,A000320,2024-10-08,33243155,ta'lim,24,846447,toladi
AP000321,A000321,2024-11-15,57313281,iste'mol,24,991885,toladi
AP000322,A000322,2024-11-03,4908056,kredit_karta,12,0,toladi
AP000323,A000323,2024-09-18,30002576,ipoteka,60,2535319,defolt
AP000324,A000324,2024-04-15,10596428,ipoteka,24,3468637,toladi
AP000325,A000325,2024-05-12,9580119,mikrobiznes,6,0,toladi
AP000326,A000326,2024-09-26,25783570,ta'lim,6,0,toladi
AP000327,A000327,2024-10-14,18536314,iste'mol,60,0,toladi
AP000328,A000328,2025-02-16,15913436,kredit_karta,12,2063575,toladi
AP000329,A000329,2024-12-09,29422226,mikrobiznes,12,0,toladi
AP000330,A000330,2025-01-18,20346293,avto,12,0,toladi
AP000331,A000331,2024-09-04,11538644,ipoteka,36,3402224,toladi
AP000332,A000332,2024-08-29,45638279,mikrobiznes,24,0,toladi
AP000333,A000333,2024-04-13,26971184,avto,36,0,defolt
AP000334,A000334,2024-06-16,4542474,ipoteka,60,0,toladi
AP000335,A000335,2024-07-07,9006772,iste'mol,6,3261781,toladi
AP000336,A000336,2024-10-20,7479432,mikrobiznes,36,0,toladi
AP000337,A000337,2025-02-24,31726283,iste'mol,60,872953,toladi
AP000338,A000338,2025-01-10,14466418,ta'lim,6,2135159,toladi
AP000339,A000339,2024-10-23,17676466,ta'lim,36,492816,toladi
AP000340,A000340,2024-09-08,8881512,ipoteka,6,0,toladi
AP000341,A000341,2024-04-22,49530527,ta'lim,12,6241187,toladi
AP000342,A000342,2024-06-01,23691500,ipoteka,36,0,toladi
AP000343,A000343,2025-02-23,9414121,iste'mol,6,1941925,toladi
AP000344,A000344,2024-12-30,6159368,avto,24,847459,toladi
AP000345,A000345,2024-10-03,52650738,ipoteka,12,0,toladi
AP000346,A000346,2024-10-17,26776398,mikrobiznes,60,4744116,toladi
AP000347,A000347,2024-04-29,6353276,ta'lim,6,1058007,toladi
AP000348,A000348,2024-04-14,21164151,iste'mol,12,593309,defolt
AP000349,A000349,2024-05-12,21211050,ipoteka,6,2048431,toladi
AP000350,A000350,2024-10-16,15530248,ta'lim,60,0,toladi
AP000351,A000351,2025-01-18,36387611,ta'lim,12,0,toladi
AP000352,A000352,2024-08-28,5076104,ipoteka,12,0,toladi
AP000353,A000353,2024-05-07,57685245,kredit_karta,12,1412126,toladi
AP000354,A000354,2024-09-08,20309463,ta'lim,36,0,toladi
AP000355,A000355,2024-09-10,18225749,ta'lim,12,0,toladi
AP000356,A000356,2024-07-19,6432592,ipoteka,36,0,toladi
AP000357,A000357,2024-05-27,7291934,ipoteka,36,5079999,defolt
AP000358,A000358,2024-09-01,11017151,iste'mol,60,0,toladi
AP000359,A000359,2025-01-06,32756156,avto,24,3058674,toladi
AP000360,A000360,2024-11-11,20075300,mikrobiznes,24,1287504,toladi
AP000361,A000361,2024-08-05,10017990,iste'mol,24,160992,toladi
AP000362,A000362,2024-05-22,15191524,mikrobiznes,60,0,toladi
AP000363,A000363,2024-07-25,30016088,mikrobiznes,36,0,toladi
AP000364,A000364,2024-10-03,11054070,avto,36,758322,defolt
AP000365,A000365,2024-05-31,18445184,kredit_karta,12,2544028,toladi
AP000366,A000366,2024-12-15,34318587,kredit_karta,36,1048596,defolt
AP000367,A000367,2024-06-23,26692652,ta'lim,60,8455715,toladi
AP000368,A000368,2024-09-03,22557286,kredit_karta,12,0,defolt
AP000369,A000369,2024-06-10,21257846,kredit_karta,6,0,toladi
AP000370,A000370,2024-09-14,9438270,mikrobiznes,60,701389,defolt
