applicant_id,loan_id,bank,summa,muddat_oy,oylik_tolov,qoldiq,max_kechikish_kun,status
A000003,L0000001,BANK-05,23647262,18,1761400,16944396,0,faol
A000006,L0000002,BANK-10,14218246,6,3036672,8121823,0,faol
A000009,L0000003,BANK-05,20995202,24,1041664,6854016,95,faol
A000010,L0000004,BANK-10,1206055,6,220090,998896,0,faol
A000010,L0000005,BANK-11,18259734,36,557256,13301647,0,faol
A000011,L0000006,BANK-08,14113992,18,925544,6624014,0,faol
A000011,L0000007,BANK-04,7922584,60,149566,4711072,15,faol
A000011,L0000008,BANK-06,9613571,36,334021,4299931,0,faol
A000012,L0000009,BANK-06,28118301,36,904165,10926607,0,faol
A000014,L0000010,BANK-02,4817545,18,314880,1430036,15,faol
A000016,L0000011,BANK-01,14727005,36,512877,10634875,0,faol
A000018,L0000012,BANK-03,12644371,18,873160,7589880,0,faol
A000018,L0000013,BANK-07,18749833,36,549841,13224625,0,yopilgan
A000018,L0000014,BANK-09,6439430,36,192529,2062763,0,faol
A000020,L0000015,BANK-08,2808794,12,276067,2147908,45,faol
A000020,L0000016,BANK-05,67455237,60,1473122,57598366,0,faol
A000020,L0000017,BANK-03,6405022,60,129731,5000714,0,faol
A000022,L0000018,BANK-04,11624146,36,417499,8036958,0,yopilgan
A000023,L0000019,BANK-06,6481564,24,308688,755281,0,yopilgan
A000023,L0000020,BANK-02,58060433,36,2041862,7016951,0,faol
A000026,L0000021,BANK-12,5823004,6,1053058,4391225,0,faol
A000029,L0000022,BANK-09,14917096,12,1597374,5693222,45,faol
A000030,L0000023,BANK-08,7443385,36,265607,6643297,0,yopilgan
A000030,L0000024,BANK-03,11064525,24,511353,5304242,0,faol
A000031,L0000025,BANK-02,22317020,12,2207074,9519124,0,faol
A000032,L0000026,BANK-09,4701057,60,89035,529654,45,faol
A000033,L0000027,BANK-09,23815929,36,883659,10182772,0,faol
A000033,L0000028,BANK-04,14764633,6,3029536,11584265,0,faol
A000033,L0000029,BANK-08,16043614,18,1020691,4949076,15,yopilgan
A000034,L0000030,BANK-09,15332508,12,1463266,8231673,0,yopilgan
A000035,L0000031,BANK-08,7186177,36,213656,5211868,0,faol
A000035,L0000032,BANK-05,2612006,24,116156,1260114,0,faol
A000036,L0000033,BANK-05,3905764,12,351327,769358,0,yopilgan
A000039,L0000034,BANK-07,6414225,36,203304,4169771,0,faol
A000041,L0000035,BANK-05,9097133,60,184317,1736785,0,faol
A000042,L0000036,BANK-05,3701970,12,328093,1948871,0,yopilgan
A000042,L0000037,BANK-03,20996744,6,4186617,3550013,0,yopilgan
A000044,L0000038,BANK-02,14054973,36,517223,4885585,0,faol
A000044,L0000039,BANK-03,4554266,6,875489,2188411,0,faol
A000047,L0000040,BANK-07,19937079,12,2224722,15949210,0,faol
A000047,L0000041,BANK-06,22113257,6,4881645,7265518,15,faol
A000048,L0000042,BANK-09,25820244,60,531245,14451911,45,yopilgan
A000048,L0000043,BANK-05,14827470,36,501256,6734344,0,yopilgan
A000051,L0000044,BANK-10,19830836,24,873358,7949514,0,faol
A000051,L0000045,BANK-08,16469194,6,3371481,3231711,45,faol
A000053,L0000046,BANK-01,9030053,60,176381,2288997,15,faol
A000054,L0000047,BANK-10,18183908,60,400205,4485589,0,yopilgan
A000054,L0000048,BANK-09,15521400,6,3284234,3635665,0,faol
A000054,L0000049,BANK-11,18164043,18,1168956,15070711,0,faol
A000055,L0000050,BANK-07,33211630,12,3666812,27530532,0,faol
A000055,L0000051,BANK-09,5824748,36,170192,2796011,15,faol
A000057,L0000052,BANK-08,20871410,6,3961837,17945456,0,faol
A000057,L0000053,BANK-03,4156913,60,90449,677045,45,faol
A000057,L0000054,BANK-06,10842512,12,1009971,6095817,15,faol
A000058,L0000055,BANK-12,3268609,36,118160,625801,0,faol
A000058,L0000056,BANK-07,66988947,36,2135420,16728861,0,faol
A000060,L0000057,BANK-04,9486210,12,1065639,6367753,0,yopilgan
A000061,L0000058,BANK-02,160782781,60,3537000,140872029,0,faol
A000062,L0000059,BANK-03,25522505,24,1136661,6404776,0,faol
A000062,L0000060,BANK-01,10516371,60,219092,7561321,0,faol
A000064,L0000061,BANK-03,9996702,36,308738,7149689,0,faol
A000065,L0000062,BANK-02,31463638,18,2178162,21536362,0,faol
A000065,L0000063,BANK-12,10654560,6,2217134,4568452,0,faol
A000066,L0000064,BANK-02,9156929,60,195562,7828906,0,faol
A000067,L0000065,BANK-02,12723082,60,260578,3912705,0,faol
A000067,L0000066,BANK-08,17110557,12,1587257,1921451,0,faol
A000067,L0000067,BANK-05,21544159,24,1005459,15022315,0,faol
A000068,L0000068,BANK-05,34995298,6,7238695,16981539,95,yopilgan
A000068,L0000069,BANK-02,3439526,12,317297,1615672,45,faol
A000069,L0000070,BANK-05,3330997,36,99122,1704631,45,faol
A000069,L0000071,BANK-05,24682321,24,1276080,10221329,0,faol
A000069,L0000072,BANK-06,12140819,36,415270,6521454,15,yopilgan
A000071,L0000073,BANK-01,27446237,24,1216265,10212896,0,yopilgan
A000071,L0000074,BANK-06,21717286,6,4350403,2412893,0,faol
A000071,L0000075,BANK-07,4871963,12,543832,2875315,0,faol
A000072,L0000076,BANK-12,13774209,24,604680,2357781,0,yopilgan
A000074,L0000077,BANK-06,6730475,24,295759,1933501,0,faol
A000076,L0000078,BANK-04,4775841,60,84115,906254,0,faol
A000076,L0000079,BANK-06,7885406,6,1663192,4246244,0,faol
A000080,L0000080,BANK-11,56845365,18,4174790,32225447,0,faol
A000080,L0000081,BANK-06,2727456,60,50764,323847,0,faol
A000082,L0000082,BANK-07,14877170,6,2744087,6396058,0,yopilgan
A000086,L0000083,BANK-02,10643644,36,393240,4960881,0,faol
A000088,L0000084,BANK-12,2117996,12,193641,1452965,0,faol
A000089,L0000085,BANK-11,5073831,12,560005,700777,15,faol
A000089,L0000086,BANK-06,26568486,6,4961358,4850385,45,faol
A000089,L0000087,BANK-09,1970131,24,95501,764210,45,yopilgan
A000092,L0000088,BANK-05,6535044,12,696338,3048115,0,yopilgan
A000093,L0000089,BANK-01,9553842,12,853189,6932722,15,faol
A000094,L0000090,BANK-11,7513954,36,237756,4244570,15,faol
A000095,L0000091,BANK-01,5358289,18,400110,2042743,0,faol
A000095,L0000092,BANK-01,1938452,60,40811,1550786,15,faol
A000098,L0000093,BANK-04,52992028,6,9471473,18628995,0,faol
A000099,L0000094,BANK-04,2402002,24,124626,1627165,0,faol
A000099,L0000095,BANK-05,5237352,24,254639,3215574,0,faol
A000100,L0000096,BANK-12,5890247,18,412142,4330259,45,faol
A000104,L0000097,BANK-08,9257881,60,191911,8221539,0,faol
A000107,L0000098,BANK-02,17511262,36,554310,6578858,0,faol
A000107,L0000099,BANK-10,34606346,24,1601536,6780213,0,faol
A000111,L0000100,BANK-05,4401599,6,778973,1945016,0,faol
A000111,L0000101,BANK-12,15737482,60,281934,8916752,45,faol
A000112,L0000102,BANK-03,6479519,36,194788,4531373,0,faol
A000113,L0000103,BANK-04,8152353,12,859090,4837533,0,faol
A000114,L0000104,BANK-02,4671790,60,86296,1799292,15,faol
A000115,L0000105,BANK-10,19635909,36,638199,17380505,0,faol
A000119,L0000106,BANK-07,6082216,12,681725,2108365,0,faol
A000120,L0000107,BANK-07,4630800,36,136441,2309742,0,faol
A000120,L0000108,BANK-09,5342659,60,118614,2329240,0,faol
A000121,L0000109,BANK-10,28412126,24,1566011,12060968,0,yopilgan
