applicant_id,oy,kirim,chiqim,naqd_yechish,oy_oxiri_qoldiq
A000001,2024-03,1976135,902154,666530,687397
A000001,2024-04,2044000,1711598,802897,0
A000001,2024-05,2068342,1397050,682950,307316
A000001,2024-06,2082894,1781577,735279,434051
A000001,2024-07,1994834,983088,68650,451340
A000001,2024-08,2156184,1657376,43907,320377
A000001,2024-09,2162774,1857200,797221,111660
A000001,2024-10,2073298,1475384,699105,104299
A000001,2024-11,1976017,1285798,167794,657885
A000001,2024-12,2184367,1543314,632262,212541
A000001,2024-12,2052852,1022626,126014,151309
A000001,2025-01,2074910,1277474,106039,282590
A000002,2024-03,3002614,1840051,245327,819136
A000002,2024-04,3180491,2906833,528668,0
A000002,2024-05,3220075,2456831,797121,955077
A000002,2024-06,3069684,1437684,1204476,614092
A000002,2024-07,3020021,2635941,417368,643277
A000002,2024-08,3221323,1639020,94485,325799
A000002,2024-09,3072498,2147335,671562,858839
A000002,2024-10,2998930,1384322,639150,924327
A000002,2024-11,3311170,1745546,79318,0
A000002,2024-12,3133276,2034316,910007,731666
A000002,2024-12,3127803,2235535,134335,492563
A000002,2025-01,3302174,2795334,67545,74596
A000003,2024-03,3541328,2279477,1271124,0
A000003,2024-04,3661399,2408270,1092607,518453
A000003,2024-05,3859269,2753994,614014,1305025
A000003,2024-06,3380147,1810742,207865,0
A000003,2024-07,3042053,1594341,914060,617585
A000003,2024-08,5206292,3413517,1684531,506161
A000003,2024-09,5749863,2923011,817599,1629048
A000003,2024-10,6307908,4523151,57194,655299
A000003,2024-11,3137965,2818808,679697,214356
A000003,2024-12,3420979,3115556,23619,556244
A000003,2024-12,1215791,791560,114170,329849
A000003,2025-01,3374960,1703507,166457,795158
A000004,2024-03,8301660,7017975,1683657,1210586
A000004,2024-04,4433419,2274161,328578,210244
A000004,2024-05,4882802,2565631,1302196,1163269
A000004,2024-06,5706592,4809983,1526166,250480
A000004,2024-07,4251612,2140004,1076345,1481438
A000004,2024-08,5141582,2338222,1480673,0
A000004,2024-09,4801146,2688749,1185893,1046117
A000004,2024-10,3745141,2006872,215759,829669
A000004,2024-11,7277492,6149756,2108829,0
A000004,2024-12,5060140,3316964,135532,289436
A000004,2024-12,4969449,4576728,185875,1663238
