application_id,score,pd,decision,sabab
AP002161,344,0.3153,defolt,Отказ (скор 344). Основные факторы: PTI (платёж/доход): -68 баллов; DTI (долг/доход): -33 баллов; Сумма/Доход: -18 баллов
AP002162,509,0.0445,toladi,Одобрено (скор 509). Положительные факторы: Стаж работы (мес): +26 баллов; Возраст: +24 баллов; Тип занятости: +13 баллов
AP002163,430,0.1221,defolt,Отказ (скор 430). Основные факторы: Стаж работы (мес): -26 баллов; Возраст: -19 баллов; Медианный доход: -14 баллов
AP002164,528,0.0346,toladi,Одобрено (скор 528). Положительные факторы: Стаж работы (мес): +19 баллов; DTI (долг/доход): +17 баллов; PTI (платёж/доход): +13 баллов
AP002165,367,0.2505,defolt,Отказ (скор 367). Основные факторы: Макс. просрочка (дн): -40 баллов; DTI (долг/доход): -36 баллов; PTI (платёж/доход): -28 баллов
AP002166,509,0.0442,toladi,Одобрено (скор 509). Положительные факторы: DTI (долг/доход): +17 баллов; Возраст: +16 баллов; PTI (платёж/доход): +10 баллов
AP002167,475,0.0693,toladi,Одобрено (скор 475). Положительные факторы: DTI (долг/доход): +17 баллов; PTI (платёж/доход): +12 баллов; Тип занятости: +11 баллов
AP002168,505,0.0465,toladi,Одобрено (скор 505). Положительные факторы: DTI (долг/доход): +17 баллов; Стаж работы (мес): +11 баллов; PTI (платёж/доход): +11 баллов
AP002169,478,0.0664,toladi,Одобрено (скор 478). Положительные факторы: Стаж работы (мес): +24 баллов; DTI (долг/доход): +17 баллов; PTI (платёж/доход): +14 баллов
AP002170,518,0.0394,toladi,Одобрено (скор 518). Положительные факторы: Возраст: +20 баллов; DTI (долг/доход): +17 баллов; PTI (платёж/доход): +13 баллов
AP002171,409,0.1571,defolt,Отказ (скор 409). Основные факторы: DTI (долг/доход): -49 баллов; PTI (платёж/доход): -36 баллов
AP002172,547,0.0265,toladi,Одобрено (скор 547). Положительные факторы: Стаж работы (мес): +27 баллов; DTI (долг/доход): +15 баллов; PTI (платёж/доход): +14 баллов
AP002173,438,0.1111,defolt,Отказ (скор 438). Основные факторы: Стаж работы (мес): -18 баллов; Возраст: -10 баллов; Сумма/Доход: -8 баллов
AP002174,198,0.7763,defolt,Отказ (скор 198). Основные факторы: DTI (долг/доход): -138 баллов; PTI (платёж/доход): -79 баллов; Макс. просрочка (дн): -40 баллов
AP002175,500,0.0499,toladi,Одобрено (скор 500). Положительные факторы: DTI (долг/доход): +17 баллов; PTI (платёж/доход): +16 баллов; Тип занятости: +13 баллов
AP002176,483,0.0627,toladi,Одобрено (скор 483). Положительные факторы: Тип занятости: +11 баллов; Срок кредита (мес): +11 баллов; Стаж работы (мес): +8 баллов
AP002177,485,0.0612,toladi,Одобрено (скор 485). Положительные факторы: DTI (долг/доход): +17 баллов; PTI (платёж/доход): +11 баллов; Стаж работы (мес): +10 баллов
AP002178,546,0.027,toladi,Одобрено (скор 546). Положительные факторы: Стаж работы (мес): +26 баллов; DTI (долг/доход): +17 баллов; PTI (платёж/доход): +15 баллов
AP002179,371,0.2399,defolt,Отказ (скор 371). Основные факторы: DTI (долг/доход): -92 баллов; PTI (платёж/доход): -55 баллов
AP002180,482,0.0633,toladi,Одобрено (скор 482). Положительные факторы: DTI (долг/доход): +17 баллов; PTI (платёж/доход): +16 баллов; Возраст: +12 баллов
AP002181,505,0.0466,toladi,Одобрено (скор 505). Положительные факторы: DTI (долг/доход): +17 баллов; PTI (платёж/доход): +10 баллов; Стаж работы (мес): +8 баллов
AP002182,522,0.0375,toladi,Одобрено (скор 522). Положительные факторы: DTI (долг/доход): +17 баллов; Возраст: +15 баллов; PTI (платёж/доход): +15 баллов
AP002183,216,0.7303,defolt,Отказ (скор 216). Основные факторы: DTI (долг/доход): -138 баллов; PTI (платёж/доход): -79 баллов; Макс. просрочка (дн): -40 баллов
AP002184,563,0.0215,toladi,Одобрено (скор 563). Положительные факторы: Медианный доход: +31 баллов; Стаж работы (мес): +28 баллов; PTI (платёж/доход): +17 баллов
